# Control-plane events: capture_2026-08-17_linux_ratechange_parsed.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [enumeration]  at 3.364526 s, 2 transfers, span 1000.830 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           | 1000717.0 |  33401 | GET_DESCRIPTOR wValue=0x0300 len=4
  1000.830 |     0.113 |      0.0 |   9935 | GET_DESCRIPTOR wValue=0x0300 len=4

================================================================================================
EVENT 2  [init+rate]  at 5.845873 s, 125 transfers, span 7380.304 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
  4035.157 |     0.342 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  4035.526 |     0.345 |     43.0 |      0 | GET_STATUS len=1 -> 32
  4035.603 |     0.034 |    114.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
  4086.768 |    51.051 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4097.960 |    11.140 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4098.112 |     0.101 |     53.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 88200 Hz
  4098.268 |     0.103 |     57.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4098.412 |     0.087 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 88200 Hz
  4098.589 |     0.126 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4098.758 |     0.118 |    118.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
  4149.947 |    51.071 |     30.0 |      0 | GET_STATUS len=1 -> 32
  4150.099 |     0.122 | 1149924.0 |      0 | GET_STATUS len=1 -> 32
  5306.372 |     6.349 |     24.0 |  20264 | SET_INTERFACE intf=1 alt=0
  5306.806 |     0.410 |     24.0 |      0 | SET_INTERFACE intf=0 alt=0
  5311.763 |     4.933 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
  5312.886 |     1.099 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
  5313.357 |     0.448 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
  5313.830 |     0.449 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
  5314.177 |     0.324 |     26.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  5314.454 |     0.251 |     34.0 |      0 | GET_STATUS len=1 -> 32
  5314.567 |     0.079 |    113.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 88200 Hz
  5365.762 |    51.082 |     60.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5376.943 |    11.121 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5377.077 |     0.082 |     38.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 48000 Hz
  5377.213 |     0.098 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5377.370 |     0.106 |     58.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 48000 Hz
  5377.514 |     0.086 |     55.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5377.671 |     0.102 |    135.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
  5428.883 |    51.077 |     30.0 |      0 | GET_STATUS len=1 -> 32
  5429.002 |     0.089 | 1824461.0 |      0 | GET_STATUS len=1 -> 32
  7259.722 |     6.259 |     24.0 |  18755 | SET_INTERFACE intf=1 alt=0
  7260.060 |     0.314 |     23.0 |      0 | SET_INTERFACE intf=0 alt=0
  7264.707 |     4.624 |     23.0 |      0 | SET_INTERFACE intf=0 alt=1
  7265.657 |     0.927 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
  7266.003 |     0.322 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
  7266.335 |     0.308 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
  7266.691 |     0.333 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  7266.997 |     0.283 |     29.0 |      0 | GET_STATUS len=1 -> 32
  7267.037 |     0.011 |    135.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 48000 Hz
  7318.235 |    51.063 |     59.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
  7328.460 |    10.166 |     59.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
  7328.575 |     0.056 |     56.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 96000 Hz
  7328.684 |     0.053 |     55.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
  7328.792 |     0.053 |     59.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 96000 Hz
  7328.887 |     0.036 |     75.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
  7329.006 |     0.044 |    113.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
  7380.201 |    51.082 |     29.0 |      0 | GET_STATUS len=1 -> 32
  7380.275 |     0.045 |     29.0 |      0 | GET_STATUS len=1 -> 32

================================================================================================
EVENT 3  [init+rate]  at 14.135927 s, 19 transfers, span 215.684 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           |  86809.0 |  18873 | GET_FIRMWARE len=3 -> 31 01 06
    93.044 |     6.235 |     27.0 |      0 | SET_INTERFACE intf=1 alt=0
    93.444 |     0.373 |     23.0 |      0 | SET_INTERFACE intf=0 alt=0
    98.983 |     5.516 |     33.0 |      0 | SET_INTERFACE intf=0 alt=1
   100.124 |     1.108 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
   100.489 |     0.342 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   100.964 |     0.451 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   101.334 |     0.346 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   101.702 |     0.344 |     37.0 |      0 | GET_STATUS len=1 -> 32
   101.834 |     0.095 |    114.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 96000 Hz
   152.520 |    50.572 |     39.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   163.667 |    11.108 |     56.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   163.815 |     0.092 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   163.968 |     0.102 |     59.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   164.102 |     0.075 |     60.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   164.212 |     0.050 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   164.273 |     0.009 |    179.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   215.519 |    51.067 |     38.0 |      0 | GET_STATUS len=1 -> 32
   215.653 |     0.096 |     31.0 |      0 | GET_STATUS len=1 -> 32

================================================================================================
EVENT 4  [init+rate]  at 16.139810 s, 19 transfers, span 247.147 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           | 117235.0 |  17944 | GET_FIRMWARE len=3 -> 31 01 06
   123.546 |     6.311 |     24.0 |      0 | SET_INTERFACE intf=1 alt=0
   124.030 |     0.460 |     24.0 |      0 | SET_INTERFACE intf=0 alt=0
   129.552 |     5.498 |     23.0 |      0 | SET_INTERFACE intf=0 alt=1
   130.671 |     1.096 |     33.0 |      0 | SET_INTERFACE intf=1 alt=1
   131.168 |     0.464 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   131.595 |     0.403 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   131.934 |     0.315 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   132.296 |     0.338 |     37.0 |      0 | GET_STATUS len=1 -> 32
   132.403 |     0.070 |    158.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
   183.712 |    51.151 |     85.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
   194.942 |    11.145 |     54.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
   195.102 |     0.106 |     52.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 88200 Hz
   195.268 |     0.114 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
   195.439 |     0.119 |     52.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 88200 Hz
   195.607 |     0.116 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
   195.762 |     0.104 |    114.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 88200 Hz
   246.965 |    51.089 |     36.0 |      0 | GET_STATUS len=1 -> 32
   247.112 |     0.111 |     35.0 |      0 | GET_STATUS len=1 -> 32

================================================================================================
EVENT 5  [init+rate]  at 17.354148 s, 71 transfers, span 2610.391 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
     0.000 |           | 114025.0 |  19099 | GET_FIRMWARE len=3 -> 31 01 06
   120.304 |     6.279 |     24.0 |      0 | SET_INTERFACE intf=1 alt=0
   120.705 |     0.377 |     24.0 |      0 | SET_INTERFACE intf=0 alt=0
   124.172 |     3.443 |     23.0 |      0 | SET_INTERFACE intf=0 alt=1
   125.009 |     0.814 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
   125.337 |     0.305 |     30.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   125.681 |     0.314 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   125.944 |     0.240 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   126.228 |     0.260 |     29.0 |      0 | GET_STATUS len=1 -> 32
   126.284 |     0.027 |    116.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 88200 Hz
   177.422 |    51.022 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
   187.896 |    10.423 |     60.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
   188.003 |     0.047 |     52.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 48000 Hz
   188.117 |     0.062 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
   188.241 |     0.072 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 48000 Hz
   188.345 |     0.053 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
   188.453 |     0.057 |    124.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
   239.672 |    51.095 |     51.0 |      0 | GET_STATUS len=1 -> 32
   239.770 |     0.047 |  88550.0 |      0 | GET_STATUS len=1 -> 32
   391.194 |    62.874 |  41148.0 |    253 | GET_DESCRIPTOR wValue=0x0100 len=64 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   487.942 |    55.600 |     22.0 |      0 | SET_ADDRESS wValue=0x0022
   503.914 |    15.950 |     72.0 |      0 | GET_DESCRIPTOR wValue=0x0100 len=18 -> 12 01 00 02 ff ff ff 40 0c 20 37 10 00 01 01 02 03 01
   504.039 |     0.053 |    185.0 |      0 | GET_DESCRIPTOR wValue=0x0200 len=73 -> 09 02 49 00 02 01 00 c0 00 09 04 00 00 00 ff 00 00 00 09 04 00 01 03 ff 00 00 00 07 05 02 05 04 00 01 07 05 83 02 00 02 01 07 05 05 02 00 02 01 09 04 01 00 00 ff 00 00 00 09 04 01 01 01 ff 00
   504.277 |     0.053 |     93.0 |      0 | GET_DESCRIPTOR wValue=0x0303 wIndex=0x0409 len=255 -> 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
   504.440 |     0.070 |     24.0 |      0 | SET_CONFIGURATION wValue=0x0001
   504.785 |     0.321 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
   505.692 |     0.883 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
   506.027 |     0.311 |     30.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   512.340 |     6.283 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
   513.128 |     0.764 |     31.0 |      0 | SET_INTERFACE intf=1 alt=1
   513.541 |     0.382 |     31.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   513.860 |     0.288 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   514.125 |     0.242 |     27.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   514.384 |     0.232 |     29.0 |      0 | GET_STATUS len=1 -> 32
   514.424 |     0.011 |     28.0 |      0 | GET_STATUS len=1 -> 32
   514.464 |     0.012 |     49.0 |      0 | GET_STATUS len=1 -> 32
   514.548 |     0.035 |    113.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 48000 Hz
   514.669 |     0.008 |     31.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   520.937 |     6.237 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
   521.617 |     0.656 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
   521.861 |     0.221 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   522.119 |     0.234 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   522.368 |     0.225 |     35.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   522.629 |     0.226 |     30.0 |      0 | GET_STATUS len=1 -> 32
   522.669 |     0.010 |    121.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 48000 Hz
   537.840 |    15.050 |     57.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
   537.971 |     0.074 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 48000 Hz
   538.074 |     0.052 |     52.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
   538.194 |     0.068 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 48000 Hz
   538.297 |     0.052 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
   538.404 |     0.056 |    118.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 48000 Hz
   589.615 |    51.093 |     29.0 |      0 | GET_STATUS len=1 -> 32
   589.698 |     0.054 | 1891268.0 |      0 | GET_STATUS len=1 -> 32
  2487.251 |     6.285 |     23.0 |  19365 | SET_INTERFACE intf=1 alt=0
  2487.689 |     0.415 |     32.0 |      0 | SET_INTERFACE intf=0 alt=0
  2492.870 |     5.149 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
  2494.035 |     1.141 |     30.0 |      0 | SET_INTERFACE intf=1 alt=1
  2494.518 |     0.453 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
  2495.001 |     0.459 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
  2495.349 |     0.324 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
  2495.721 |     0.348 |     36.0 |      0 | GET_STATUS len=1 -> 32
  2495.826 |     0.069 |    114.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 48000 Hz
  2547.032 |    51.092 |     55.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
  2558.247 |    11.160 |     54.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 96000 Hz
