# Control-plane events: capture_2026-08-13_linux_power-on2_parsed.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [init+rate]  at 5.348714 s, 36 transfers, span 281.273 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
   164.719 |     0.990 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
   165.096 |     0.354 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   165.450 |     0.331 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   165.880 |     0.407 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   166.309 |     0.406 |     39.0 |      0 | GET_STATUS len=1 -> 12
   166.412 |     0.064 |     29.0 |      0 | GET_STATUS len=1 -> 12
   166.499 |     0.058 |    212.0 |      0 | SET_STATUS wValue=0x0032
   166.723 |     0.012 |     31.0 |      0 | GET_STATUS len=1 -> 32
   166.818 |     0.064 |     29.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   167.254 |     0.407 |     23.0 |      0 | SET_INTERFACE intf=0 alt=1
   168.272 |     0.995 |     24.0 |      0 | SET_INTERFACE intf=1 alt=1
   168.731 |     0.435 |     29.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   169.122 |     0.362 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   169.493 |     0.347 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   169.949 |     0.432 |     28.0 |      0 | GET_STATUS len=1 -> 32
   170.017 |     0.040 |    134.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
   185.257 |    15.106 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   185.371 |     0.063 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   185.468 |     0.046 |     50.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   185.564 |     0.046 |     51.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   185.670 |     0.055 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   185.729 |     0.008 |    176.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   236.947 |    51.042 |     29.0 |      0 | GET_STATUS len=1 -> 32
   237.019 |     0.043 |     35.0 |      0 | GET_STATUS len=1 -> 32

